time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1678	1.34389	5.19807	0.222834	0.185172	radar	4.82182	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3948	1.42424	5.17093	0.243636	0.199209	lidar	1.19707	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6292	1.50843	5.10217	0.266569	0.217571	radar	4.34277	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8572	1.54155	5.0733	0.2629	0.2008	lidar	1.29334	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1215	1.59297	5.103	0.263755	0.189042	radar	1.80171	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4002	1.63988	5.13648	0.261086	0.174182	lidar	1.87655	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6327	1.69798	5.09563	0.26798	0.173317	radar	0.987553	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.864	1.76299	5.07837	0.276401	0.173246	lidar	0.390495	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1182	1.8513	5.11995	0.290914	0.178687	radar	1.30873	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3615	1.88197	5.10389	0.280541	0.15599	lidar	0.691681	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6162	1.94244	5.13661	0.281115	0.145882	radar	0.934902	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8173	2.07511	5.10538	0.319999	0.183538	lidar	3.41149	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0816	2.17957	5.17859	0.334414	0.186489	radar	3.55026	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2852	2.3199	5.15274	0.372229	0.220373	lidar	2.64008	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4686	2.46348	5.06252	0.415361	0.263529	radar	11.0538	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7172	2.57999	5.08878	0.431853	0.267079	lidar	0.83733	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9375	2.69276	5.07021	0.449703	0.273737	radar	0.251253	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1655	2.84623	5.09172	0.481195	0.294236	lidar	0.678098	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4138	2.95372	5.14359	0.483215	0.274385	radar	1.47189	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6211	3.03008	5.09779	0.481217	0.256839	lidar	2.17982	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8513	3.17971	5.14521	0.50304	0.263586	radar	3.90412	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0578	3.37137	5.1649	0.546711	0.298721	lidar	1.28224	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2696	3.53564	5.15708	0.577308	0.319916	radar	2.57488	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4822	3.72336	5.18424	0.612058	0.341154	lidar	0.78572	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6943	3.85721	5.17353	0.622277	0.33359	radar	0.92709	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9152	4.00266	5.18137	0.63378	0.327461	lidar	0.20687	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1116	4.1667	5.14721	0.66123	0.346826	radar	1.80912	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3089	4.36165	5.16977	0.692939	0.362904	lidar	0.457605	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5188	4.52477	5.18373	0.706022	0.355807	radar	0.635392	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6974	4.695	5.16791	0.727773	0.360679	lidar	0.478322	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8515	4.89118	5.09771	0.774425	0.408407	radar	4.79645	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0165	5.11497	5.12161	0.81412	0.429935	lidar	0.630693	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.186	5.2886	5.09303	0.834816	0.433365	radar	1.79721	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3464	5.47065	5.07814	0.855726	0.43286	lidar	0.233119	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5017	5.64499	5.03661	0.877756	0.439458	radar	3.37924	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6961	5.77094	4.99886	0.867398	0.403767	lidar	1.89632	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8381	5.9721	4.96872	0.902121	0.428922	radar	1.28211	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0135	6.15969	4.97856	0.914103	0.418001	lidar	0.68466	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1616	6.36898	4.98641	0.93942	0.423555	radar	0.652609	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2843	6.60235	5.00219	0.976402	0.441026	lidar	0.506663	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4148	6.81808	4.99728	1.00526	0.45189	radar	0.276232	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5639	6.95796	4.93084	1.0015	0.42382	lidar	2.37957	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7118	7.16499	4.95376	1.01228	0.406226	radar	0.564232	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9092	7.30413	4.91804	0.991174	0.360746	lidar	4.20239	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.996	7.51348	4.86269	1.03353	0.400096	radar	4.26792	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0887	7.76887	4.89614	1.0752	0.423659	lidar	0.993448	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2083	7.97828	4.89458	1.09151	0.416746	radar	0.299606	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2887	8.19193	4.87195	1.12108	0.426826	lidar	1.49064	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3867	8.40449	4.86976	1.1382	0.417087	radar	2.32491	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4823	8.55538	4.78267	1.14336	0.401478	lidar	4.35248	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5717	8.76764	4.76354	1.16771	0.410564	radar	0.64349	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.734	8.93978	4.74046	1.15268	0.372047	lidar	4.30379	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8058	9.16451	4.72311	1.18709	0.397649	radar	1.03591	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9374	9.38432	4.74402	1.19087	0.379702	lidar	2.84771	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9813	9.6101	4.70666	1.23663	0.423159	radar	2.84118	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0703	9.84437	4.72676	1.25493	0.419712	lidar	0.608683	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.13	10.092	4.75794	1.28097	0.42028	radar	7.01298	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1795	10.3578	4.79945	1.3149	0.433531	lidar	0.748912	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1952	10.5949	4.77402	1.36252	0.47394	radar	3.06737	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2549	10.8624	4.82143	1.38696	0.473763	lidar	1.8692	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2839	11.1169	4.84373	1.41587	0.476248	radar	4.85792	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3185	11.3547	4.84155	1.43938	0.475974	lidar	0.0024168	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2646	11.604	4.80817	1.51547	0.558006	radar	11.066	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3364	11.844	4.8183	1.51984	0.532797	lidar	4.62011	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3616	12.0781	4.8277	1.52635	0.49387	radar	3.56435	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3497	12.3603	4.88102	1.56247	0.504373	lidar	1.11964	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2999	12.5996	4.85506	1.62062	0.559431	radar	3.4259	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3247	12.8397	4.85327	1.63315	0.543342	lidar	1.76506	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3112	13.0722	4.83792	1.66057	0.547752	radar	2.12193	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2757	13.2878	4.80486	1.6907	0.551593	lidar	1.0931	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2365	13.5227	4.80393	1.71794	0.547242	radar	1.28953	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2166	13.7794	4.82851	1.73881	0.539775	lidar	1.24377	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1602	14.0078	4.81443	1.77577	0.557841	radar	0.90796	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1056	14.261	4.83981	1.80454	0.558001	lidar	0.329033	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0335	14.4899	4.83575	1.83658	0.561469	radar	1.40284	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9262	14.7417	4.87285	1.87922	0.575368	lidar	1.26967	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8592	14.9605	4.85666	1.89726	0.554374	radar	3.37941	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8268	15.1806	4.82876	1.90769	0.537519	lidar	2.11089	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6941	15.3919	4.81395	1.98165	0.62664	radar	8.05975	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6622	15.5847	4.75181	1.99048	0.605448	lidar	3.62905	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.567	15.7916	4.73903	2.01776	0.599974	radar	1.36118	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4638	16.0041	4.73865	2.04685	0.599049	lidar	0.00817073	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3615	16.2131	4.73563	2.06374	0.571652	radar	1.81046	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2513	16.3918	4.6971	2.09377	0.574307	lidar	0.794083	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1323	16.5896	4.6915	2.1237	0.577402	radar	0.290394	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0034	16.7973	4.70575	2.15223	0.576631	lidar	0.0949692	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8465	16.9895	4.71873	2.20964	0.634336	radar	6.5642	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6765	17.2195	4.78873	2.24344	0.634349	lidar	1.74471	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5728	17.4241	4.77304	2.23078	0.552279	radar	6.07427	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3614	17.6124	4.82071	2.27768	0.570269	lidar	3.8566	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2252	17.8035	4.81224	2.28215	0.523885	radar	2.46452	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0923	17.9898	4.79876	2.29919	0.515096	lidar	0.903671	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9165	18.1457	4.78739	2.34128	0.543881	radar	1.92698	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7824	18.2908	4.73123	2.36332	0.540246	lidar	1.12992	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6481	18.4729	4.71839	2.37074	0.512897	radar	6.71988	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4556	18.6515	4.75501	2.39869	0.514259	lidar	0.452665	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2745	18.7937	4.74261	2.43296	0.528835	radar	1.74198	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1117	18.9312	4.70997	2.45762	0.527847	lidar	0.357978	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9444	19.1014	4.71624	2.46962	0.507	radar	3.06932	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.728	19.2163	4.71605	2.5099	0.521978	lidar	2.68514	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5386	19.3692	4.73044	2.53332	0.522108	radar	3.22694	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3165	19.5274	4.78167	2.55907	0.520497	lidar	0.86036	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
